onset	duration	trial_type	value	sample
0.0	0.0002	New Segment/	2	0
23.9608	0.0	missing_trigger	6	119804
23.9608	0.0	trigger	1	119804
24.0232	0.0	missing_trigger	6	120116
24.0232	0.0	trigger	1	120116
24.0858	0.0	missing_trigger	6	120429
24.0858	0.0	trigger	1	120429
24.1482	0.0	missing_trigger	6	120741
24.1482	0.0	trigger	1	120741
24.2108	0.0	missing_trigger	6	121054
24.2108	0.0	trigger	1	121054
24.2732	0.0	missing_trigger	6	121366
24.2732	0.0	trigger	1	121366
24.3356	0.0	missing_trigger	6	121678
24.3356	0.0	trigger	1	121678
24.3982	0.0	missing_trigger	6	121991
24.3982	0.0	trigger	1	121991
24.4606	0.0	missing_trigger	6	122303
24.4606	0.0	trigger	1	122303
24.5232	0.0	missing_trigger	6	122616
24.5232	0.0	trigger	1	122616
24.5856	0.0	missing_trigger	6	122928
24.5856	0.0	trigger	1	122928
24.648	0.0	missing_trigger	6	123240
24.648	0.0	trigger	1	123240
24.7106	0.0	missing_trigger	6	123553
24.7106	0.0	trigger	1	123553
24.773	0.0	missing_trigger	6	123865
24.773	0.0	trigger	1	123865
24.8356	0.0	missing_trigger	6	124178
24.8356	0.0	trigger	1	124178
24.898	0.0	missing_trigger	6	124490
24.898	0.0	trigger	1	124490
24.9604	0.0	missing_trigger	6	124802
24.9604	0.0	trigger	1	124802
25.023	0.0	missing_trigger	6	125115
25.023	0.0	trigger	1	125115
25.0854	0.0	missing_trigger	6	125427
25.0854	0.0	trigger	1	125427
25.148	0.0	missing_trigger	6	125740
25.148	0.0	trigger	1	125740
25.2104	0.0	missing_trigger	6	126052
25.2104	0.0	trigger	1	126052
25.2728	0.0	missing_trigger	6	126364
25.2728	0.0	trigger	1	126364
25.3354	0.0	missing_trigger	6	126677
25.3354	0.0	trigger	1	126677
25.3978	0.0	missing_trigger	6	126989
25.3978	0.0	trigger	1	126989
25.4604	0.0	missing_trigger	6	127302
25.4604	0.0	trigger	1	127302
25.5228	0.0	missing_trigger	6	127614
25.5228	0.0	trigger	1	127614
25.5852	0.0	missing_trigger	6	127926
25.5852	0.0	trigger	1	127926
25.6478	0.0	missing_trigger	6	128239
25.6478	0.0	trigger	1	128239
25.7102	0.0	missing_trigger	6	128551
25.7102	0.0	trigger	1	128551
25.7728	0.0	missing_trigger	6	128864
25.7728	0.0	trigger	1	128864
25.8352	0.0	missing_trigger	6	129176
25.8352	0.0	trigger	1	129176
25.8976	0.0	missing_trigger	6	129488
25.8976	0.0	trigger	1	129488
25.9608	0.0	missing_trigger	6	129804
25.9608	0.0	trigger	1	129804
26.0232	0.0	missing_trigger	6	130116
26.0232	0.0	trigger	1	130116
26.0858	0.0	missing_trigger	6	130429
26.0858	0.0	trigger	1	130429
26.1482	0.0	missing_trigger	6	130741
26.1482	0.0	trigger	1	130741
26.2108	0.0	missing_trigger	6	131054
26.2108	0.0	trigger	1	131054
26.2732	0.0	missing_trigger	6	131366
26.2732	0.0	trigger	1	131366
26.3356	0.0	missing_trigger	6	131678
26.3356	0.0	trigger	1	131678
26.3982	0.0	missing_trigger	6	131991
26.3982	0.0	trigger	1	131991
26.4606	0.0	missing_trigger	6	132303
26.4606	0.0	trigger	1	132303
26.5232	0.0	missing_trigger	6	132616
26.5232	0.0	trigger	1	132616
26.5856	0.0	missing_trigger	6	132928
26.5856	0.0	trigger	1	132928
26.648	0.0	missing_trigger	6	133240
26.648	0.0	trigger	1	133240
26.7106	0.0	missing_trigger	6	133553
26.7106	0.0	trigger	1	133553
26.773	0.0	missing_trigger	6	133865
26.773	0.0	trigger	1	133865
26.8356	0.0	missing_trigger	6	134178
26.8356	0.0	trigger	1	134178
26.898	0.0	missing_trigger	6	134490
26.898	0.0	trigger	1	134490
26.9604	0.0	missing_trigger	6	134802
26.9604	0.0	trigger	1	134802
27.023	0.0	missing_trigger	6	135115
27.023	0.0	trigger	1	135115
27.0854	0.0	missing_trigger	6	135427
27.0854	0.0	trigger	1	135427
27.148	0.0	missing_trigger	6	135740
27.148	0.0	trigger	1	135740
27.2104	0.0	missing_trigger	6	136052
27.2104	0.0	trigger	1	136052
27.2728	0.0	missing_trigger	6	136364
27.2728	0.0	trigger	1	136364
27.3354	0.0	missing_trigger	6	136677
