model_id,family,device,repetitions,n_windows,inference_seconds_mean,inference_seconds_sd,ms_per_window,peak_rss_mib_mean,peak_rss_mib_sd,memory_definition,timing_definition,precision,platform
ic_unet,Discriminative + ICA,cpu,3,32,0.5954,0.0087,18.605,1029.0,1.71,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
cascaded_context_dae,Autoencoder (context MLP),cpu,3,32,0.6274,0.0028,19.607,808.8,1.02,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
cascaded_dae,Autoencoder (cascaded MLP),cpu,3,32,0.631,0.0056,19.72,770.6,0.99,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
st_gnn,Graph (GNN),cpu,3,32,0.9473,0.0389,29.604,1376.0,0.96,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
vit_spectrogram,Vision (MAE),cpu,3,32,1.1995,0.009,37.484,863.4,1.84,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
dhct_gan,"GAN (single-epoch input, failed)",cpu,3,32,4.1491,0.0164,129.66,889.3,1.09,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
dpae,Discriminative,cpu,3,32,4.608,0.0156,143.999,832.0,0.54,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
dhct_gan_v2,"GAN (hybrid CNN+Transformer, ctx fix)",cpu,3,32,4.7518,0.0216,148.493,868.1,5.88,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
denoise_mamba,SSM,cpu,3,32,12.1825,0.3634,380.702,3191.7,0.2,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
sepformer,Audio (Transformer),cpu,3,32,15.7044,1.4404,490.761,945.5,0.27,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
demucs,Audio (U-Net+LSTM),cpu,3,32,21.2026,0.0471,662.582,1028.6,2.2,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
nested_gan,GAN (TF+Time),cpu,3,32,23.7211,0.1064,741.284,952.8,3.27,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
conv_tasnet,Audio (TCN),cpu,3,32,151.9441,23.865,4748.255,834.1,1.91,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
d4pm,Diffusion,cpu,3,32,202.6927,22.2142,6334.148,1201.6,0.73,"Peak-RSS des Arbeitsprozesses (ru_maxrss), inklusive Interpreter und Framework — identisch für alle Arme","Wanduhr um den Inferenzaufruf, ohne Interpreterstart",float32,macOS-26.6.2-arm64-arm-64bit
