checkpoint,family,ga_rest_uv,hinweis,kapazitaet,lr,naht_ratio,pipeline_device,pipeline_s,rms_uv,seed,si_sdr,status,tag,train_s,val_loss,x_farm
grids/run8/nested_gan/lr0.00015_ch32_sisdr0_s42/grid_nested_gan_lr0.00015_ch32_sisdr0_s42_20260912_175729/checkpoints/epoch0080_val_loss0.1165.pt,Nested GAN,1.158,,32,0.00015,1.2455,,600.4,26.3277,42,0.0,ok,lr0.00015_ch32_sisdr0_s42,1146.4,0.1165,4.67
grids/run8/nested_gan/lr0.00015_ch32_sisdr1_s42/grid_nested_gan_lr0.00015_ch32_sisdr1_s42_20260912_182649/checkpoints/epoch0080_val_loss-0.6612.pt,Nested GAN,2.303,,32,0.00015,1.1338,,593.0,25.6761,42,1.0,ok,lr0.00015_ch32_sisdr1_s42,1165.5,-0.6612,9.29
grids/run8/nested_gan/lr0.00015_ch32_sisdr3_s42/grid_nested_gan_lr0.00015_ch32_sisdr3_s42_20260912_185614/checkpoints/epoch0078_val_loss-2.2468.pt,Nested GAN,1.3113,,32,0.00015,1.1014,,620.5,25.3667,42,3.0,ok,lr0.00015_ch32_sisdr3_s42,1163.8,-2.2468,5.29
grids/run8/nested_gan/lr0.00015_ch48_sisdr0_s42/grid_nested_gan_lr0.00015_ch48_sisdr0_s42_20260912_192606/checkpoints/epoch0074_val_loss0.1154.pt,Nested GAN,1.9406,auffaellig: Nahtsprung,48,0.00015,2.2932,,579.7,26.2009,42,0.0,ok,lr0.00015_ch48_sisdr0_s42,1140.2,0.1154,7.82
grids/run8/nested_gan/lr0.00015_ch48_sisdr1_s42/grid_nested_gan_lr0.00015_ch48_sisdr1_s42_20260912_195456/checkpoints/epoch0076_val_loss-0.6819.pt,Nested GAN,0.974,,48,0.00015,1.5013,,438.7,25.5481,42,1.0,ok,lr0.00015_ch48_sisdr1_s42,1226.6,-0.6819,3.93
grids/run8/nested_gan/lr0.00015_ch48_sisdr3_s42/grid_nested_gan_lr0.00015_ch48_sisdr3_s42_20260912_202246/checkpoints/epoch0076_val_loss-2.2806.pt,Nested GAN,1.6207,,48,0.00015,1.6398,,478.2,26.0322,42,3.0,ok,lr0.00015_ch48_sisdr3_s42,1554.6,-2.2806,6.53
grids/run8/nested_gan/lr0.00015_ch72_sisdr0_s42/grid_nested_gan_lr0.00015_ch72_sisdr0_s42_20260912_205644/checkpoints/epoch0050_val_loss0.1109.pt,Nested GAN,1.3256,,72,0.00015,1.1778,,432.2,26.1446,42,0.0,ok,lr0.00015_ch72_sisdr0_s42,1367.1,0.1109,5.35
grids/run8/nested_gan/lr0.00015_ch72_sisdr1_s42/grid_nested_gan_lr0.00015_ch72_sisdr1_s42_20260912_212648/checkpoints/epoch0080_val_loss-0.6896.pt,Nested GAN,2.1288,,72,0.00015,1.1199,,435.6,26.1261,42,1.0,ok,lr0.00015_ch72_sisdr1_s42,1628.0,-0.6896,8.58
grids/run8/nested_gan/lr0.00015_ch72_sisdr3_s42/grid_nested_gan_lr0.00015_ch72_sisdr3_s42_20260912_220119/checkpoints/epoch0080_val_loss-2.3020.pt,Nested GAN,1.4821,,72,0.00015,1.2747,,426.5,26.5295,42,3.0,ok,lr0.00015_ch72_sisdr3_s42,1611.8,-2.302,5.98
grids/run8/nested_gan/lr0.0005_ch32_sisdr0_s42/grid_nested_gan_lr0.0005_ch32_sisdr0_s42_20260912_223523/checkpoints/epoch0050_val_loss0.1082.pt,Nested GAN,1.7988,,32,0.0005,1.056,,397.1,29.0933,42,0.0,ok,lr0.0005_ch32_sisdr0_s42,1263.3,0.1082,7.25
grids/run8/nested_gan/lr0.0005_ch32_sisdr1_s42/grid_nested_gan_lr0.0005_ch32_sisdr1_s42_20260912_230308/checkpoints/epoch0076_val_loss-0.7004.pt,Nested GAN,1.3963,,32,0.0005,1.062,,396.5,27.0025,42,1.0,ok,lr0.0005_ch32_sisdr1_s42,1556.3,-0.7004,5.63
grids/run8/nested_gan/lr0.0005_ch32_sisdr3_s42/grid_nested_gan_lr0.0005_ch32_sisdr3_s42_20260912_233546/checkpoints/epoch0078_val_loss-2.3288.pt,Nested GAN,1.1573,,32,0.0005,1.1433,,397.7,27.0296,42,3.0,ok,lr0.0005_ch32_sisdr3_s42,1618.4,-2.3288,4.67
grids/run8/nested_gan/lr0.0005_ch48_sisdr0_s42/grid_nested_gan_lr0.0005_ch48_sisdr0_s42_20260913_000927/checkpoints/epoch0036_val_loss0.1129.pt,Nested GAN,2.3693,,48,0.0005,1.3829,,402.0,26.6914,42,0.0,ok,lr0.0005_ch48_sisdr0_s42,1111.7,0.1129,9.55
grids/run8/nested_gan/lr0.0005_ch48_sisdr1_s42/grid_nested_gan_lr0.0005_ch48_sisdr1_s42_20260913_003446/checkpoints/epoch0044_val_loss-0.6917.pt,Nested GAN,2.4911,,48,0.0005,1.464,,396.6,26.5082,42,1.0,ok,lr0.0005_ch48_sisdr1_s42,1308.1,-0.6917,10.04
grids/run8/nested_gan/lr0.0005_ch48_sisdr3_s42/grid_nested_gan_lr0.0005_ch48_sisdr3_s42_20260913_010315/checkpoints/epoch0064_val_loss-2.3169.pt,Nested GAN,1.672,,48,0.0005,1.1395,,401.6,26.4907,42,3.0,ok,lr0.0005_ch48_sisdr3_s42,1615.0,-2.3169,6.74
grids/run8/nested_gan/lr0.0005_ch72_sisdr0_s42/grid_nested_gan_lr0.0005_ch72_sisdr0_s42_20260913_013656/checkpoints/epoch0031_val_loss0.1069.pt,Nested GAN,2.2094,,72,0.0005,1.3781,,398.8,25.482,42,0.0,ok,lr0.0005_ch72_sisdr0_s42,1020.5,0.1069,8.91
grids/run8/nested_gan/lr0.0005_ch72_sisdr1_s42/grid_nested_gan_lr0.0005_ch72_sisdr1_s42_20260913_020041/checkpoints/epoch0043_val_loss-0.6890.pt,Nested GAN,1.4091,,72,0.0005,0.9991,,400.2,28.0127,42,1.0,ok,lr0.0005_ch72_sisdr1_s42,1311.8,-0.689,5.68
grids/run8/nested_gan/lr0.0005_ch72_sisdr3_s42/grid_nested_gan_lr0.0005_ch72_sisdr3_s42_20260913_022919/checkpoints/epoch0076_val_loss-2.3132.pt,Nested GAN,1.7071,,72,0.0005,1.7652,,399.1,27.8201,42,3.0,ok,lr0.0005_ch72_sisdr3_s42,1678.3,-2.3132,6.88
