besser_als_null,bewertung_s,checkpoint,corr_clean,err_uv,err_uv_null,family,hinweis,kapazitaet,lr,n_selektion,seed,si_sdr,status,tag,train_s,val_loss
True,14.0,grids/wega/nested_gan/lr0.00015_ch32_sisdr0_s42/grid_nested_gan_lr0.00015_ch32_sisdr0_s42_20260912_234231/checkpoints/epoch0077_val_loss1.8833.pt,0.9796,9.1594,45.3128,Nested GAN,,32,0.00015,4110,42,0.0,ok,lr0.00015_ch32_sisdr0_s42,424.3,1.8833
True,1.1,grids/wega/nested_gan/lr0.00015_ch32_sisdr1_s42/grid_nested_gan_lr0.00015_ch32_sisdr1_s42_20260912_234940/checkpoints/epoch0079_val_loss1.8087.pt,0.9818,8.5972,45.3128,Nested GAN,,32,0.00015,4110,42,1.0,ok,lr0.00015_ch32_sisdr1_s42,418.6,1.8087
True,1.0,grids/wega/nested_gan/lr0.00015_ch32_sisdr3_s42/grid_nested_gan_lr0.00015_ch32_sisdr3_s42_20260912_235640/checkpoints/epoch0077_val_loss1.4974.pt,0.9845,7.9593,45.3128,Nested GAN,,32,0.00015,4110,42,3.0,ok,lr0.00015_ch32_sisdr3_s42,415.5,1.4974
True,8.3,grids/wega/nested_gan/lr0.00015_ch48_sisdr0_s42/grid_nested_gan_lr0.00015_ch48_sisdr0_s42_20260913_000337/checkpoints/epoch0076_val_loss1.7495.pt,0.9799,9.0515,45.3128,Nested GAN,,48,0.00015,4110,42,0.0,ok,lr0.00015_ch48_sisdr0_s42,557.6,1.7495
True,1.1,grids/wega/nested_gan/lr0.00015_ch48_sisdr1_s42/grid_nested_gan_lr0.00015_ch48_sisdr1_s42_20260913_001314/checkpoints/epoch0079_val_loss1.6051.pt,0.9837,8.1559,45.3128,Nested GAN,,48,0.00015,4110,42,1.0,ok,lr0.00015_ch48_sisdr1_s42,579.7,1.6051
True,1.2,grids/wega/nested_gan/lr0.00015_ch48_sisdr3_s42/grid_nested_gan_lr0.00015_ch48_sisdr3_s42_20260913_002243/checkpoints/epoch0079_val_loss1.6734.pt,0.9818,8.6132,45.3128,Nested GAN,,48,0.00015,4110,42,3.0,ok,lr0.00015_ch48_sisdr3_s42,562.0,1.6734
True,1.4,grids/wega/nested_gan/lr0.00015_ch72_sisdr0_s42/grid_nested_gan_lr0.00015_ch72_sisdr0_s42_20260913_003206/checkpoints/epoch0078_val_loss1.7329.pt,0.9814,8.7132,45.3128,Nested GAN,,72,0.00015,4110,42,0.0,ok,lr0.00015_ch72_sisdr0_s42,827.5,1.7329
True,1.4,grids/wega/nested_gan/lr0.00015_ch72_sisdr1_s42/grid_nested_gan_lr0.00015_ch72_sisdr1_s42_20260913_004555/checkpoints/epoch0077_val_loss1.5811.pt,0.9833,8.2527,45.3128,Nested GAN,,72,0.00015,4110,42,1.0,ok,lr0.00015_ch72_sisdr1_s42,836.4,1.5811
True,1.4,grids/wega/nested_gan/lr0.00015_ch72_sisdr3_s42/grid_nested_gan_lr0.00015_ch72_sisdr3_s42_20260913_005953/checkpoints/epoch0076_val_loss1.5599.pt,0.9823,8.4971,45.3128,Nested GAN,,72,0.00015,4110,42,3.0,ok,lr0.00015_ch72_sisdr3_s42,834.2,1.5599
True,1.1,grids/wega/nested_gan/lr0.0005_ch32_sisdr0_s42/grid_nested_gan_lr0.0005_ch32_sisdr0_s42_20260913_011349/checkpoints/epoch0076_val_loss1.3657.pt,0.9889,6.7459,45.3128,Nested GAN,,32,0.0005,4110,42,0.0,ok,lr0.0005_ch32_sisdr0_s42,402.6,1.3657
